t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778194246929431409,1778194246902663761,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194246929369483,0,LEFT,0,0,1,0,1778194246912471946,-1,IDLE,0,0,0,0,0
1778194246959778390,1778194246902663761,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194246959695020,1,LEFT,1,0,0,0,1778194246912471946,-1,IDLE,0,0,0,0,0
1778194246993191372,1778194246972290372,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194246993137390,0,LEFT,0,1,1,1,1778194246912471946,-1,IDLE,0,0,0,0,0
1778194247071478594,1778194247025477224,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247071418538,1,LEFT,1,0,0,0,1778194246912471946,-1,IDLE,0,0,0,0,0
1778194247174370205,1778194247143953501,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247174303261,2,BACKWARD,0,1,0,1,1778194247125562094,-1,IDLE,0,0,0,0,0
1778194247250925538,1778194247143953501,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247250852260,1,RIGHT,1,0,1,0,1778194247209408260,1,BACKWARD,0,1,0,0,1
1778194247353788594,1778194247352672631,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247353610538,0,BACKWARD,0,1,0,1,1778194247209408260,1,BACKWARD,0,1,0,0,0
1778194247504919149,1778194247504103149,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194247504853408,-1,LEFT,1,0,0,0,1778194247209408260,1,BACKWARD,0,1,0,0,0
1778194247539883464,1778194247529300242,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194247529689594,-1,IDLE,0,0,0,0,1778194247209408260,1,BACKWARD,0,1,0,0,0
1778194247601349538,1778194247581474038,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247601213297,1,IDLE,0,0,0,0,1778194247209408260,1,BACKWARD,0,1,0,0,1
1778194247647910594,1778194247625475520,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247647866390,-1,BACKWARD,1,1,1,1,1778194247209408260,1,BACKWARD,0,1,0,0,0
1778194247716990112,1778194247711153816,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247716933131,1,IDLE,0,0,0,0,1778194247648670038,0,LEFT,1,0,0,0,0
1778194247839250927,1778194247837628686,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247839195908,-1,BACKWARD,1,1,1,1,1778194247751586519,-1,IDLE,0,0,0,0,1
1778194247855807371,1778194247837628686,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247855718482,0,IDLE,0,0,0,0,1778194247751586519,-1,IDLE,0,1,0,0,0
1778194247936998871,1778194247900217538,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247936921964,2,LEFT,1,1,0,1,1778194247861644186,1,BACKWARD,0,1,0,0,0
1778194247996426723,1778194247948581686,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194247996369519,1,RIGHT,0,0,1,0,1778194247861644186,1,BACKWARD,0,1,0,0,1
1778194248066792482,1778194248056392723,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194248066698630,3,BACKWARD,1,1,0,0,1778194247861644186,1,BACKWARD,0,1,0,0,0
1778194248127222038,1778194248094259223,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194248127163501,-1,IDLE,0,0,0,1,1778194248090387482,-1,IDLE,0,0,0,0,1
1778194248183443278,1778194248163823075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194248183382223,-1,IDLE,0,0,0,0,1778194248090387482,-1,IDLE,0,0,0,0,1
1778194248293253389,1778194248266334556,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194248290670408,-1,IDLE,0,0,0,0,1778194248090387482,-1,IDLE,0,1,0,0,1
1778194248350550186,1778194248350088075,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194248350506612,-1,IDLE,0,0,0,0,1778194248327677908,1,BACKWARD,0,1,0,0,0
1778194248406415408,1778194248405891741,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194248406367019,0,IDLE,0,0,0,0,1778194248327677908,1,BACKWARD,0,1,0,0,0
1778194248463664704,1778194248451694371,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194248463609278,1,LEFT,1,0,0,1,1778194248430155593,-1,IDLE,0,0,0,0,0
1778194248550515500,1778194248512651963,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194248550453704,2,BACKWARD,0,1,0,0,1778194248504390889,-1,IDLE,0,0,0,0,0
1778194248586262426,1778194248572805908,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194248586191352,0,RIGHT,0,0,1,0,1778194248504390889,-1,IDLE,0,0,0,0,0
1778194248668692593,1778194248668275593,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194248668626667,1,BACKWARD,1,0,0,1,1778194248617409149,1,BACKWARD,0,1,0,0,1
1778194248720584278,1778194248718579574,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194248720511945,2,RIGHT,0,1,0,0,1778194248617409149,1,BACKWARD,0,1,0,0,0
1778194248827693667,1778194248827216537,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194248827644352,3,FORWARD,1,0,1,0,1778194248733090260,3,FORWARD,0,0,0,1,1
1778194248878216259,1778194248877710611,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194248878172648,-1,FORWARD,0,0,0,1,1778194248861207741,0,LEFT,1,0,0,0,0
1778194248950864111,1778194248942499056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194248950808778,1,IDLE,0,0,0,0,1778194248861207741,0,LEFT,0,1,0,0,0
1778194249003187593,1778194248973635130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194249003143722,-1,IDLE,1,1,0,0,1778194248951760945,1,BACKWARD,0,1,0,0,0
1778194249059525185,1778194249059034093,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249059477278,-1,IDLE,0,0,0,0,1778194248951760945,1,BACKWARD,0,1,0,0,0
1778194249149081241,1778194249135505056,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249149022907,-1,IDLE,0,0,0,0,1778194249100581074,3,FORWARD,0,0,0,1,0
1778194249214034111,1778194249213579333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249213992907,-1,IDLE,0,0,0,0,1778194249169798815,0,LEFT,1,0,0,0,0
1778194249255278407,1778194249237055241,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249255200759,-1,IDLE,0,0,0,0,1778194249169798815,0,LEFT,1,0,0,0,0
