Linux 6.8.0-1053-raspi (robotgreier4) 	05/09/2026 	_aarch64_	(4 CPU)

05:21:48 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:21:49 AM     0       192    0.00    0.00    0.00    0.00    0.00     2  kworker/R-md_bi
05:21:49 AM     0       197    0.00    0.00    0.00    0.00    0.00     3  kworker/3:2-mm_percpu_wq
05:21:49 AM     0       198    0.00    0.00    0.00    0.00    0.00     0  kworker/R-raid5
05:21:49 AM     0       234    0.00    0.00    0.00    0.00    0.00     2  kworker/2:2H-kblockd
05:21:49 AM     0       235    0.00    0.00    0.00    0.00    0.00     3  jbd2/mmcblk0p2-8
05:21:49 AM     0       236    0.00    0.00    0.00    0.00    0.00     1  kworker/R-ext4-
05:21:49 AM     0       297    0.00    0.00    0.00    0.00    0.00     3  kworker/3:2H-kblockd
05:21:49 AM     0       315    0.00    0.00    0.00    0.00    0.00     1  systemd-journal
05:21:49 AM     0       338    0.00    0.00    0.00    0.00    0.00     0  kworker/R-kmpat
05:21:49 AM     0       339    0.00    0.00    0.00    0.00    0.00     0  kworker/R-kmpat
05:21:49 AM     0       364    0.00    0.00    0.00    0.00    0.00     0  multipathd
05:21:49 AM     0       380    0.00    0.00    0.00    0.00    0.00     3  kworker/3:3-events
05:21:49 AM     0       390    0.00    0.00    0.00    0.00    0.00     2  systemd-udevd
05:21:49 AM     0       397    0.00    0.00    0.00    0.00    0.00     1  psimon
05:21:49 AM     0       440    0.00    0.00    0.00    0.00    0.00     1  vchiq-keep/0
05:21:49 AM     0       441    0.00    0.00    0.00    0.00    0.00     1  SMIO
05:21:49 AM     0       464    0.00    0.00    0.00    0.00    0.00     3  kworker/R-mmal-
05:21:49 AM     0       465    0.00    0.00    0.00    0.00    0.00     3  kworker/R-mmal-
05:21:49 AM     0       467    0.00    0.00    0.00    0.00    0.00     3  kworker/R-mmal-
05:21:49 AM     0       468    0.00    0.00    0.00    0.00    0.00     0  irq/45-feb10000.codec
05:21:49 AM     0       469    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mmal-
05:21:49 AM     0       470    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mmal-
05:21:49 AM     0       472    0.00    0.00    0.00    0.00    0.00     2  kworker/R-mmal-
05:21:49 AM     0       473    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mmal-
05:21:49 AM     0       481    0.00    0.00    0.00    0.00    0.00     1  kworker/R-cfg80
05:21:49 AM     0       500    0.00    0.00    0.00    0.00    0.00     1  kworker/R-brcmf
05:21:49 AM     0       501    0.00    0.00    0.00    0.93    0.00     1  brcmf_wdog/mmc1:0001:1
05:21:49 AM     0       504    0.00    0.00    0.00    0.00    0.00     3  irq/47-vc4 hdmi hpd connected
05:21:49 AM     0       505    0.00    0.00    0.00    0.00    0.00     3  irq/48-vc4 hdmi hpd disconnected
05:21:49 AM     0       506    0.00    0.00    0.00    0.00    0.00     3  cec-vc4-hdmi-0
