procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 177716  50092 575576    0    0     0     0 7309 11577 79 20  1  0  0  0
10  0      0 176584  50092 575604    0    0     0     0 7380 11284 77 22  1  0  0  0
 5  0      0 177384  50104 575636    0    0     0    40 7491 12299 74 23  3  0  0  0
 9  0      0 178348  50104 575668    0    0     0     0 7322 11840 77 21  2  0  0  0
12  0      0 175828  50104 575700    0    0     0   280 7250 12188 79 19  1  0  0  0
12  0      0 175576  50104 575736    0    0     0     0 7431 11611 80 19  2  0  0  0
16  0      0 177280  50104 575764    0    0     0     0 7384 12859 78 20  2  0  0  0
11  0      0 178696  50104 575796    0    0     0     0 7336 11574 78 21  2  0  0  0
18  0      0 179920  50112 575828    0    0     0    28 7290 11334 78 21  1  0  0  0
 9  0      0 179944  50112 575860    0    0     0     0 7414 10939 76 23  1  0  0  0
14  0      0 181244  50112 575892    0    0     0   116 7273 11749 78 22  1  0  0  0
13  0      0 182492  50112 575920    0    0     0     0 7300 11032 80 19  1  0  0  0
17  0      0 181428  50112 575964    0    0     0     0 7201 12426 78 20  1  0  0  0
 6  0      0 177648  50120 575996    0    0     0    48 7543 12687 79 20  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 178460  50120 576032    0    0     0     0 7145 11414 79 20  1  0  0  0
10  0      0 176948  50120 576064    0    0     0   228 7058 10302 79 20  1  0  0  0
 8  0      0 179880  50120 576092    0    0     0     0 7286 11965 75 24  1  0  0  0
17  0      0 178116  50120 576124    0    0     0     0 7094 11005 78 20  2  0  0  0
 5  0      0 179336  50136 576196    0    0     0   116 7297 11598 78 20  2  0  0  0
10  0      0 180652  50136 576228    0    0     0     0 7066 11618 79 20  1  0  0  0
12  0      0 181616  50136 576260    0    0     0     0 7485 11211 78 20  1  0  0  0
 8  0      0 180060  50136 576292    0    0     0     0 7236 11403 79 20  1  0  0  0
11  0      0 178296  50136 576324    0    0     0     0 6952 12989 77 21  2  0  0  0
 9  0      0 181100  50144 576352    0    0     0   168 7326 10358 75 23  3  0  0  0
12  0      0 181844  50144 576388    0    0     0     0 7153 12281 78 21  2  0  0  0
 8  0      0 182672  50144 576424    0    0     0     0 7147 11994 77 21  2  0  0  0
15  0      0 181544  50144 576456    0    0     0     0 7395 11762 80 19  2  0  0  0
13  0      0 179024  50144 576488    0    0     0     0 7586 10598 78 20  2  0  0  0
11  0      0 179024  50152 576524    0    0     0    88 7401 11099 78 20  1  0  0  0
