t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778191573116013243,1778191573115573632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1778191573115967743,-1,LEFT,1,0,0,0,1778191572919636429,2,RIGHT,0,0,1,0,0
1778191573196395188,1778191573186582040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191573196270706,1,IDLE,0,0,0,0,1778191573157371873,0,LEFT,1,0,0,0,0
1778191573259649614,1778191573242674132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1778191573259566965,-1,BACKWARD,0,1,0,0,1778191573157371873,0,LEFT,1,0,0,0,0
1778191573308401410,1778191573295170706,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191573308326114,3,IDLE,0,0,0,0,1778191573157371873,0,LEFT,1,0,0,0,0
1778191573376656817,1778191573376023039,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191573376605613,1,FORWARD,0,0,1,1,1778191573345314243,-1,IDLE,0,0,0,0,0
1778191573436086780,1778191573422375613,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191573436025465,0,BACKWARD,0,1,0,0,1778191573345314243,-1,IDLE,0,0,0,0,0
1778191573500844910,1778191573453159317,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191573500789910,3,LEFT,1,0,0,0,1778191573468443799,-1,IDLE,0,0,0,0,0
1778191573565702965,1778191573544917280,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191573565644984,1,FORWARD,0,0,1,1,1778191573546645928,-1,IDLE,0,0,0,0,0
1778191573629520299,1778191573619832965,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191573629473206,-1,BACKWARD,0,1,0,0,1778191573546645928,-1,IDLE,0,0,0,0,1
1778191573742617576,1778191573742233521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191573742579891,3,IDLE,0,0,0,0,1778191573546645928,-1,IDLE,0,0,0,0,0
1778191573777932447,1778191573769608984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191573777867039,-1,FORWARD,1,1,1,1,1778191573748105095,-1,IDLE,0,0,0,0,1
1778191573843512465,1778191573834492910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191573843386761,3,IDLE,0,0,0,0,1778191573748105095,-1,IDLE,0,0,0,0,0
1778191573923243613,1778191573900560984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191573923183872,-1,IDLE,0,0,0,1,1778191573854863354,0,LEFT,1,0,0,0,0
1778191573988652854,1778191573981817817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191573988594317,2,IDLE,0,0,0,0,1778191573969635669,1,BACKWARD,0,1,0,0,0
1778191574033414261,1778191574019673595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191574033359169,-1,RIGHT,0,0,1,0,1778191573969635669,1,BACKWARD,0,1,0,0,0
