time_s,phase,P_total_W,P_system_W,P_fpga_W,E_total_Wh,E_system_Wh,E_fpga_Wh
0.5213272571563721,idle_pre,5.119772,3.732716,1.387056,0.00014222728161070083,0.00010369486174477471,3.8532419865926115e-05
0.6213066577911377,idle_pre,5.119772,3.732716,1.387056,0.00028441387492921617,0.00020736005852805243,7.705381640116375e-05
0.7212953567504883,idle_pre,5.119772,3.732716,1.387056,0.0004266136919426918,0.00031103489642381665,0.00011557879551887514
0.8211686611175537,idle_pre,5.0224852,3.6354292000000004,1.387056,0.00056595041223677,0.00041189109836729364,0.00015405931386947632
0.9212942123413086,idle_pre,5.0225296,3.6354292000000004,1.3871004,0.0007056402857749992,0.0005130020296408865,0.00019263825613411267
1.0212974548339844,idle_pre,5.0225296,3.6354292000000004,1.3871004,0.0008451595206403997,0.0006139894484888182,0.00023117007215158145
1.1212773323059082,idle_pre,5.0225296,3.6354292000000004,1.3871004,0.000984646157864597,0.0007149532723704444,0.0002696928854941527
1.221294641494751,idle_pre,5.0225296,3.6354292000000004,1.3871004,0.001124185017840518,0.000815954896351152,0.00030823012148936587
1.3211679458618164,idle_pre,4.847413360000001,3.4603129600000004,1.3871004,0.001258664792811701,0.00091195292120098,0.0003467118716107209
1.4212768077850342,idle_pre,4.847404480000001,3.4603129600000004,1.38709152,0.001393461499971231,0.001008177363513136,0.0003852841364580949
1.5212764739990234,idle_pre,4.847404480000001,3.4603129600000004,1.38709152,0.0015281111749723966,0.0011042968471231195,0.0004238143278492768
1.6212849617004395,idle_pre,4.847404480000001,3.4603129600000004,1.38709152,0.00166277272811736,0.0012004248099295668,0.00046234791818779305
1.7212755680084229,idle_pre,4.847404480000001,3.4603129600000004,1.38709152,0.0017974102039438142,0.001296535585175615,0.0005008746187681992
1.8211677074432373,idle_pre,4.7411282880000005,3.3540367680000003,1.38709152,0.0019289661617280475,0.0013896027819807679,0.0005393633797472795
1.9212853908538818,idle_pre,4.739871584,3.3540367680000003,1.385834816,0.0020607842069097202,0.001482880112893625,0.0005779040940160952
2.021294593811035,idle_pre,4.739871584,3.3540367680000003,1.385834816,0.0021924594233639146,0.0015760563750760325,0.0006164030482878822
2.1212875843048096,idle_pre,4.739871584,3.3540367680000003,1.385834816,0.00232411329398631,0.0016692175324811418,0.0006548957615051682
2.221294641494751,idle_pre,4.739871584,3.3540367680000003,1.385834816,0.002455785685256884,0.001762391795501848,0.000693393889755036
2.3211677074432373,idle_pre,4.688667430400001,3.3028326144000006,1.385834816,0.002585861127336567,0.00185402068981151,0.0007318404375250572
2.42132568359375,idle_pre,4.6864124672,3.3028326144000006,1.3835798528,0.0027162449018147015,0.0019459109759843464,0.0007703339258303551
2.52128529548645,idle_pre,4.6864124672,3.3028326144000006,1.3835798528,0.0028463704494231523,0.0020376192721737844,0.0008087511772493682
2.6212871074676514,idle_pre,4.6864124672,3.3028326144000006,1.3835798528,0.002976550932315178,0.0021293662849822866,0.0008471846473328915
2.7213211059570312,idle_pre,4.6864124672,3.3028326144000006,1.3835798528,0.00310677331499976,0.002221142827415499,0.0008856304875842614
2.8213930130004883,idle_pre,4.676569944320001,3.292990091520001,1.3835798528,0.0032367714463192644,0.0023126805491748364,0.0009240908971444284
2.921332836151123,idle_pre,4.674721973760001,3.292990091520001,1.3817318822400002,0.0033665466928014757,0.0024040974512257534,0.0009624492415757227
3.021318197250366,idle_pre,4.674721973760001,3.292990091520001,1.3817318822400002,0.0034963810718528538,0.0024955560077248805,0.0010008250641279737
3.121307611465454,idle_pre,4.674721973760001,3.292990091520001,1.3817318822400002,0.0036262207140124823,0.002587018271687984,0.0010392024423244981
3.2213258743286133,idle_pre,4.674721973760001,3.292990091520001,1.3817318822400002,0.0037560978171190694,0.002678506924071158,0.0010775908930479115
3.321162462234497,idle_pre,4.697968755456001,3.316236873216001,1.3817318822400002,0.0038863836978505076,0.002770474083546036,0.0011159096143044714
3.421342134475708,idle_pre,4.696534379008001,3.316236873216001,1.3802975057920002,0.004017077385283452,0.0028627572843885354,0.001154320100894917
3.521315813064575,idle_pre,4.696534379008001,3.316236873216001,1.3802975057920002,0.004147502334863593,0.0029548507286350483,0.001192651606228546
3.6213250160217285,idle_pre,4.696534379008001,3.316236873216001,1.3802975057920002,0.004277973629281777,0.003046976897109341,0.0012309967321724362
3.7213006019592285,idle_pre,4.696534379008001,3.316236873216001,1.3802975057920002,0.0044084010671753705,0.0031390720983613726,0.0012693289688139988
3.8214354515075684,idle_pre,4.721375804364801,3.3410782985728007,1.3802975057920002,0.004539727249350715,0.0032320049796827088,0.0013077222696680072
3.921283006668091,idle_pre,4.720184303206401,3.3410782985728007,1.3791060046336003,0.004670643600068002,0.003324671229602812,0.0013459723704651908
4.021373987197876,idle_pre,4.720184303206401,3.3410782985728007,1.3791060046336003,0.004801879120953899,0.003417563397083628,0.0013843157238702718
4.12131404876709,idle_pre,4.720184303206401,3.3410782985728007,1.3791060046336003,0.004932916762587367,0.0035103155001022196,0.001422601262485148
4.221346378326416,idle_pre,4.720184303206401,3.3410782985728007,1.3791060046336003,0.005064075382531562,0.003603153234948427,0.0014609221475831353
4.321168899536133,idle_pre,4.746079043491841,3.366973038858241,1.3791060046336003,0.005195676931415439,0.003696514273166197,0.0014991626582492423
4.421330451965332,idle_pre,4.745169842565121,3.366973038858241,1.3781968037068804,0.005327700147518645,0.0037901923972104468,0.0015375077503081982
4.521308422088623,idle_pre,4.745169842565121,3.366973038858241,1.3781968037068804,0.005459481383282511,0.0038836988221784734,0.0015757825611040375
4.62132453918457,idle_pre,4.745169842565121,3.366973038858241,1.3781968037068804,0.0055913129006753305,0.003977240924876624,0.0016140719757987063
4.721293926239014,idle_pre,4.745169842565121,3.366973038858241,1.3781968037068804,0.005723082823072682,0.004070739322355373,0.001652343500717309
4.821362018585205,idle_pre,4.765996834793473,3.387800031086593,1.3781968037068804,0.00585556177067984,0.004164908957455707,0.001690652813224133
4.92127537727356,idle_pre,4.766430274052097,3.387800031086593,1.3786302429655044,0.005987847897800506,0.004258932979586366,0.0017289149182141402
5.021315097808838,idle_pre,4.766430274052097,3.387800031086593,1.3786302429655044,0.006120301329069135,0.004353075915236175,0.0017672254138329602
5.121342897415161,idle_pre,4.766430274052097,3.387800031086593,1.3786302429655044,0.006252738976927578,0.004447207632629459,0.0018055313442981186
5.221318960189819,idle_pre,4.766430274052097,3.387800031086593,1.3786302429655044,0.0063851081247858175,0.004541290662789432,0.0018438174619963858
5.321167945861816,idle_pre,4.782980667834779,3.4043504248692744,1.3786302429655044,0.006517768060389171,0.004635713145232551,0.0018820549151566204
5.421374797821045,idle_pre,4.7821666192416785,3.4043504248692744,1.3778161943724037,0.006650880799961036,0.004730474044966499,0.001920406754994538
5.521297931671143,idle_pre,4.7821666192416785,3.4043504248692744,1.3778161943724037,0.006783616654179913,0.004824966645848958,0.0019586500083309563
5.621325731277466,idle_pre,4.7821666192416785,3.4043504248692744,1.3778161943724037,0.0069164915442559,0.0049195582242068814,0.00199693332004902
5.7213287353515625,idle_pre,4.7821666192416785,3.4043504248692744,1.3778161943724037,0.007049333496452299,0.005014126354597952,0.002035207141854348
5.821440696716309,idle_pre,4.795518134267823,3.41770193989542,1.3778161943724037,0.007182691475947232,0.005109168811421015,0.002073522664526218
5.921301364898682,idle_pre,4.796027695393343,3.41770193989542,1.3783257554979231,0.007315728845470328,0.005203972700133835,0.002111756145336495
6.021327972412109,idle_pre,4.796027695393343,3.41770193989542,1.3783257554979231,0.007448987284334394,0.005298934125283779,0.0021500531590506167
6.121320962905884,idle_pre,4.796027695393343,3.41770193989542,1.3783257554979231,0.0075822009375992126,0.005393863635724478,0.0021883373018747355
6.221344709396362,idle_pre,4.796027695393343,3.41770193989542,1.3783257554979231,0.007715455564922918,0.0054888223447289546,0.0022266332201939638
6.321163654327393,idle_pre,4.806820107414259,3.4284943519163362,1.3783257554979231,0.007848736595921627,0.005583885869426256,0.0022648507264953713
6.421329975128174,idle_pre,4.808388556314675,3.4284943519163362,1.3798942043983384,0.00798252509332902,0.0056792802208478444,0.002303244872481178
6.521301507949829,idle_pre,4.808388556314675,3.4284943519163362,1.3798942043983384,0.008116053419544822,0.005774489064078806,0.002341564355466017
